,titles,companies,locations,reviews,descriptions,salaries
309,CATIA - Automotive,Alphaabets,Bengaluru,None,"About the company
Alphaabets is a Digital Twin Consulting & Implementation company delivering engineering solutions focused on Design/CAE using CATIA, SIMULIA, Digital Manfacturing (DELMIA) , PLM,Machine learning & AR/VR.
Transport & Mobility – across Automotive (Traditional Auto, EV) , Aerospace & Shipbuilding
Education - Industry 4. 0 Learning & Startup – for Core Engineering Disciplines – Aerospace, Mechanical, Automotive and Civil & Structural.
Infrastructure & Cities – Urban planning, Integrated Design & Construction Planning , BIM 4D/5D
JOB Role : Mechanical Design Engineer (CATIA) for Automotive
Location : Bangalore, Mysore, Chennai, Kochi, Pune, Mumbai, Noida and Eastern parts of India (Candidates ready to take up rotational assignments - short projects at client locations).
Looking for immediate joiners
Requirements
BTech/MTech in Mechanical Engineering or any related discipline with 2-3 years of Automotive experience
Technical Skill Sets Required: CATIA V5- Part Design, Assembly Design, Generative Shape Design, Drafting, Generative Structural Analysis; SolidWorks –
Create solid models of detail/assembly/installation 3D and 2D using 3D Experience Platform – Catiav5 & Catia v6
Working knowledge of at least one Automotive Domains - BIW, Sheet Metal and Plastic Trims, Chassis and/or Powertrain.
Strong fundamentals on GD&T and/or DFMA concepts.
Job Type: Full-time
Salary: ₹30,000.00 - ₹40,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Education:
Bachelor's (Preferred)
Experience:
CATIA: 2 years (Preferred)",₹30T - ₹40T (Employer Est.)
310,"Sr. Technical Delivery Manager - Windows, AWS, and Azure Infrastructure Support",Atlas Systems,Bengaluru,4.0,"About US:
With offices in the US and India, Atlas Systems is a trusted partner helping companies on their digital transformation journeys – expanding their capabilities and delivering added value. Now in its 20th year, Atlas works closely with clients to provide solutions that seamlessly enhance in-house teams and systems, leveraging AI, Cloud, and other innovative technologies.
The company’s continuous focus on learning and upskilling in-house talent allows Atlas to stay ahead of emerging trends and deliver the services clients need most. With a team of 500+ associates globally, Atlas manages some of the largest Infrastructure operations for clients in a variety of industries, from healthcare to hospitality. The company also offers expertise in Database Services, Application Development & Support, Network Support, Cloud Migration, Big Data Analytics, IT Security, and IT Consulting. Our product AInfinity® leverages AI / ML and real-world experience to optimize IT Ops.
In addition, Atlas brings deep experience to supporting clients in the areas of Third-party risk management (TPRM), with AI-powered Comply Score® solution suite and provider directory verification for health plans, leveraging its proven PRIME system for top-quality validation.
Join us on this transformative journey as we redefine what's possible in the digital landscape, enabling businesses to reach new heights by turning innovation into impact. Shape your digital future with Atlas Systems!

Please apply using the URL: https://atlas.bamboohr.com/careers/321

Job Description:
Position Overview:
As the Senior Technical Delivery Manager for Windows, AWS, and Azure Infrastructure Support, you will leverage your extensive 15+ years of hands-on technical experience to lead the successful delivery of services related to Windows Server management, end-user computing, infrastructure security, AWS cloud technologies, and Azure cloud technologies. This role requires a seasoned professional who not only possesses deep technical expertise but is also adept at managing large teams.

Responsibilities:
Technical Leadership:
Provide hands-on technical leadership, demonstrating proficiency in Windows Server management, end-user computing, infrastructure security, AWS, and Azure cloud technologies.
Work closely with the technical team to guide and contribute to the implementation of complex Windows, AWS, and Azure infrastructure solutions.

2.Windows Infrastructure Management:
Oversee end-to-end Windows infrastructure management, ensuring optimal performance, security, and scalability for both servers and end-user devices.
Implement and enforce best practices for Windows Server configurations, Active Directory, DHCP, DNS, and end-user computing environments.

3.AWS and Azure Infrastructure Management:
Lead projects involving AWS and Azure cloud technologies, including AWS EC2, S3, AWS Identity and Access Management (IAM), Azure Virtual Machines, Azure Active Directory, and other related services.
Ensure seamless integration of on-premises Windows infrastructure with AWS and Azure cloud solutions.

4.Project Management:
Lead projects related to Windows, AWS, and Azure infrastructure and cloud support services, ensuring technical excellence and client satisfaction.
Collaborate with clients to understand complex infrastructure requirements and provide strategic technical solutions.

5.Team Management:
Lead and mentor a team of seasoned Windows, AWS, and Azure infrastructure and cloud support professionals, both onsite and offshore.
Foster a collaborative team culture, encouraging continuous learning and hands-on technical development.

6.Client Relationship Management:
Serve as the primary technical point of contact for clients, ensuring a comprehensive understanding of their intricate Windows, AWS, and Azure infrastructure and cloud support needs.
Provide regular, transparent updates on project status, issues, and resolutions to maintain and strengthen client relationships.

7.Resource Management:
Efficiently allocate and manage onsite and offshore resources to ensure optimal productivity, efficiency, and project success.
Monitor and analyze resource utilization, identifying areas for enhancement and improvement.

8.Quality Assurance:
Implement and enforce rigorous quality assurance processes to guarantee the delivery of reliable, secure, and high-performance Windows, AWS, and Azure infrastructure and cloud support services.
Proactively address and resolve any service-related challenges to exceed client expectations.

Qualifications:
Bachelor’s degree in computer science, Information Technology, or a related field.
Proven and extensive experience (15+ years) in a Senior Technical Delivery Manager role within the IT services industry, specifically in Windows, AWS, and Azure infrastructure and cloud support.
Hands-on technical proficiency in Windows Server management, Active Directory, DHCP, DNS, end-user computing, AWS, and Azure cloud technologies.
Exceptional project management skills with a track record of consistently delivering successful projects in diverse cloud environments.
Outstanding leadership and communication skills, collaborating effectively with cross-functional teams and clients.
Demonstrated experience in managing both onsite and offshore resources.",₹7L - ₹10L (Glassdoor Est.)
311,Product Architect,Atlas Systems,Bengaluru,4.0,None,₹4L - ₹8L (Glassdoor Est.)
312,Mlops Engineer,RARR Technologies Pvt Ltd,Remote,4.7,"Azure ML, DataBricks, ML Flow, DevOps methodologies, CI/CD pipelines, GitHub, GitHub Actions, YAML, Terraform, containerization, Kubernetes, Prometheus, Grafana, ELK stack and AWS Sagemaker.
Responsibilities:
Collaborate with data scientists, engineers, and other stakeholders to streamline the machine learning model deployment process.
Design, build, and maintain CI/CD pipelines for machine learning model deployment and automation using tools like GitHub Actions, YAML, and Terraform.
Implement containerization strategies and manage Docker-based deployments for machine learning models.
Utilize Kubernetes for orchestration and management of containerized applications.
Develop and maintain monitoring and alerting systems using Prometheus, Grafana, and ELK stack to ensure the health and performance of deployed models.
Implement and manage machine learning infrastructure on cloud platforms such as Azure ML and AWS Sagemaker.
Continuously optimize and improve MLOps workflows for scalability, reliability, and efficiency.
Skills and Qualifications:
Strong proficiency in Azure ML, DataBricks, ML Flow, and AWS Sagemaker for model development and deployment.
Proficiency in DevOps practices, CI/CD pipelines, version control systems (e.g., GitHub), and automation using tools like GitHub Actions and YAML.
Experience with infrastructure as code tools such as Terraform for provisioning and managing cloud resources.
Expertise in containerization technologies like Docker and orchestration tools like Kubernetes for deploying and managing applications.
Knowledge of monitoring and observability tools such as Prometheus, Grafana, and ELK stack for tracking performance metrics and logs.
Familiarity with machine learning concepts and the ability to work closely with data scientists to operationalize models effectively.
Strong problem-solving skills and the ability to work in a fast-paced, collaborative environment.
Education and Experience:
Bachelor s or Master s degree in Computer Science, Engineering, or related field.
Minimum of X years of experience in MLOps, DevOps, or a similar role within the machine learning domain.
Relevant certifications in Azure, AWS, Kubernetes, or other related technologies are a plus.",₹25L (Employer Est.)
313,Senior Cloud Java Full Stack Developer,EPAM Systems,India,4.1,"India

We are seeking an experienced Senior Cloud Java Full Stack Developer to join our remote team, working on the development and improvement of our high-quality product. As the Senior Cloud Java Full Stack Developer, you will be responsible for demonstrating ownership and a proactive attitude toward problem-solving, developing new features, and improving existing ones.
responsibilities
Design, develop, and maintain high-quality software solutions that meet or exceed customer expectations
Collaborate with cross-functional teams, including Product Managers, Designers, and other Developers, to identify and solve complex system problems
Take ownership of product areas and drive them forward from ideation to production
Ensure the scalability, reliability, and performance of the product
Create and maintain technical documentation for the product
Participate in code reviews and provide feedback to other Developers
Stay up-to-date with emerging technologies and industry trends to ensure the product remains competitive
requirements
Bachelor's degree in Computer Science, Information Technology, Software Engineering, or a related field
At least 4 years of experience in Java Full Stack Development
Expertise in Algorithms, Data Structures, and Problem-Solving
Proficiency in Kotlin, Scala, or Go Language
In-depth knowledge of Clean Code principles and practices for developing maintainable codebases
Strong background in System Design and Analysis for effective product development
Experience in developing Microservices with Java and Spring
Familiarity with API and Integration Standards for creating scalable systems
Extensive understanding of SQL and NoSQL tools for efficient data management
Experience with Continuous Integration and Continuous Deployment (CI/CD)
Proficiency in Amazon Web Services (AWS) for cloud-based deployments
Experience working with ReactJS for creating beautiful and responsive user interfaces
Experience with Requirement elicitation and Big picture view mindset
Proficient in English language (Upper-Intermediate) for effective communication
nice to have
Experience with Machine Learning and Artificial Intelligence technologies
Knowledge of Docker and containerization technologies
Familiarity with GraphQL for creating efficient APIs
Experience with Agile methodologies for effective project management

benefits for locations
India
For you
Insurance Coverage
Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves.
Financial assistance for medical crisis
Retiral Benefits – VPF and NPS
Customized Mindfulness and Wellness programs
EPAM Hobby Clubs
For your comfortable work
Hybrid Work Model
Soft loans to set up workspace at home
Stable workload
Relocation opportunities with ‘EPAM without Borders’ program
For your growth
Certification trainings for technical and soft skills
Access to unlimited LinkedIn Learning platform
Access to internal learning programs set up by world class trainers
Community networking and idea creation platforms
Mentorship programs
Self-driven career progression tool",None
314,Graduate Apprentice Trainee - CATIA,Alphaabets,Bengaluru,None,"About the company
Alphaabets is a Digital Twin Consulting & Implementation company delivering engineering solutions focused on Design/CAE using CATIA, SIMULIA, Digital Manfacturing (DELMIA) , PLM,Machine learning & AR/VR.
Transport & Mobility – across Automotive (Traditional Auto, EV) , Aerospace & Shipbuilding
Education - Industry 4. 0 Learning & Startup – for Core Engineering Disciplines – Aerospace, Mechanical, Automotive and Civil & Structural.
Infrastructure & Cities – Urban planning, Integrated Design & Construction Planning , BIM 4D/5D
JOB Role : Mechanical Design Engineer (CATIA) for Automotive
Location : Bangalore, Mysore, Kochi, Chennai, Noida and Eastern parts of India (Candidates ready to take up rotational assignments - short projects at client locations).
Looking for immediate joiners
Requirements
BTech/MTech in Mechanical Engineering or any related discipline
Technical Skill Sets Required: CATIA V5- Part Design, Assembly Design, Generative Shape Design, Drafting, Generative Structural Analysis; SolidWorks –
Create solid models of detail/assembly/installation 3D and 2D using 3D Experience Platform – Catiav5 & Catia v6
Working knowledge of at least one Automotive Domains - BIW, Sheet Metal and Plastic Trims, Chassis and/or Powertrain.
Strong fundamentals on GD&T and/or DFMA concepts.
Expectations
Should be able provide hands-on training on CATIA V5 & SolidWorks to educators of Engineering institutes, Polytechnic & ITI’s
Able to present the overview solution of products and relevant fit for Industries
Manage expectations of faculty on the training and skill development
Take feedback and prepare documentation on the Action plan, Deliverables, and lessons learned
Should be flexible to travel all over India
Job Type: Full-time
Salary: ₹10,000.00 - ₹12,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Education:
Bachelor's (Preferred)
Ability to Relocate:
Bengaluru, Karnataka: Relocate with an employer provided relocation package (Preferred)
Willingness to travel:
25% (Preferred)",₹10T - ₹12T (Employer Est.)
315,Technical Architect,EcoLab,Bengaluru,3.7,"Title: Technical Architect (Digital Transformation)
Summary
Ecolab Digital center is looking for an Architect with strong knowledge of architecting, designing, and implementing scalable and robust applications on cloud.
Roles and Responsibilities
Provide architecture leadership & domain expertise to internal business groups with complete ownership.
Design innovative and practical solutions, in line with the business strategy & objectives, within the context of Ecolab considering business impact, cost of ownership, and extensibility.
Own architectural / technology direction, builds consensus, and mediate conflicts while providing technical leadership and advisory services to the businesses.
Work closely with Business and other architects in solutions designing that not only incorporates business requirements but also aspects such as Business Continuity, Cyber Security, data sovereignty, cross-system (Legacy) integration, user experience, etc.
Ensure reference architecture, policies, standards, and practices are adhered to across projects via solution review, and gap analysis.
Contribute to Architectural governance best practices, and methodologies via reusable components / shared services
Evangelizes and encourages the importance of technical quality, emerging technologies, sharing & experimentation across the org.
Basic Qualifications
Over 10+ years of overall IT industry experience.
5+ years of proven experience in technical design, implementation of solutions related to Cloud leveraging IaaS, PaaS & SaaS.
4+ Years of cloud-native architecture experience in Azure and/or competitive cloud technologies. Hands-on experience in various cloud offerings such as Identity management Systems, Application Services, Serverless Code, NoCode Low code environments, container orchestration,DevOps etc
3+ years of hands-on experience on Digital Transformation projects such as Monolith to Microservices transformation, Event-driven reactive architecture, IoT, or related.
Design experience for secured solutions involving verities of cloud security controls such as tenant isolation, encryption at rest & during transit, OAuth,
Exposure to Artificial Intelligence, Machine Learning, Product Lifecycle Management PLM Software like ENOVIA
Prior experience in the manufacturing will be an added advantage.

Our Commitment to Diversity and Inclusion

Ecolab is committed to fair and equal treatment of associates and applicants and furthering the principles of Equal Opportunity to Employment. Our goal is to fully utilize minority, female, and disabled individuals at all levels of the workforce. We will recruit, hire, promote, transfer and provide opportunities for advancement based on individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, Ecolab will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, or disability.",₹3L - ₹9L (Glassdoor Est.)
316,Sofware Developer,IBM,Bengaluru,4.1,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Guarium Development team looking for experienced Software Developer, passionate about software security, responsible for keeping Guardium software solution secured. Your primary focus will be to work with top IBM security specialists to identify, design and implement solutions in Guardium software for agentless Universal Connector. It will require experience with Java development interfacing with AWS and Azure cloud, This is a great opportunity to grow your technical and interpersonal skills, while working on cutting edge technology/solutions

Required Technical and Professional Expertise
10+ years of experience with software development experience, building enterprise grade applications in Java, Java script
Experience in leading a team
Experience in Docker container, microservices, AWS and AZURE environments.
Experience should include handling of complete lifecycle of Software development (Design, Code, Test, Release, Support).
Experience in software security/compliance would be a strong plus.
Ability to work independently as well as collaboratively to debug and solve problems.
Ability to work with various stakeholders of the project, be able to demonstrate and explain complex designs in a simple way.
Solid understanding of Agile methodologies with the ability to break up requirements into more manageable tasks.
Highly driven, responsible and meticulous.
Good communication skills, both written and verbal in English, with an ability to convey ideas to others.

Preferred Technical and Professional Expertise
Experience in Network troubleshooting is a plus

About Business UnitIBM Software infuses core business operations with intelligence—from machine learning to generative AI—to help make organizations more responsive, productive, and resilient. IBM Software helps clients put AI into action now to create real value with trust, speed, and confidence across digital labor, IT automation, application modernization, security, and sustainability. Critical to this is the ability to make use of all data, because AI is only as good as the data that fuels it. In most organizations data is spread across multiple clouds, on premises, in private datacenters, and at the edge. IBM’s AI and data platform scales and accelerates the impact of AI with trusted data, and provides leading capabilities to train, tune and deploy AI across business. IBM’s hybrid cloud platform is one of the most comprehensive and consistent approach to development, security, and operations across hybrid environments—a flexible foundation for leveraging data, wherever it resides, to extend AI deep into a business.
This job requires you to be fully COVID-19 vaccinated prior to your start date and proof of vaccination status will be required before your start date. During the Onboarding process you will be asked to confirm your vaccination status, in case you are unable to get vaccinated for any reason, you can let us know at that stage. Please let us know if you are unable to be vaccinated due to medical or religious reasons. IBM will consider such requests on a case by case basis subject to submission of required proof by the candidate before a stipulated date.
Your Life @ IBMIn a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.
Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.
Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.
Are you ready to be an IBMer?

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementWhen applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender, gender identity or expression, sexual orientation, national origin, caste, genetics, pregnancy, disability, neurodivergence, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",None
317,Associate Process Manager,Eclerx,Mumbai,3.4,"The candidate must possess in-depth functional knowledge of the process area and apply it to operational scenarios to provide effective solutions. He/she must be able to identify discrepancies and propose optimal solutions by using a logical, systematic, and sequential methodology. It is vital to be open-minded towards inputs and views from team members and to effectively lead, control, and motivate groups towards company objects. Additionally, he/she must be self-directed, proactive, and seize every opportunity to meet internal and external customer needs and achieve customer satisfaction by effectively auditing processes, implementing best practices and process improvements, and utilizing the frameworks and tools available. Goals and thoughts must be clearly and concisely articulated and conveyed, verbally and in writing, to clients, colleagues, subordinates and supervisors.
Associate Process Manger Roles and Responsibilities:
Understand business problem and requirements by building domain knowledge and translate to logical analytics problem.
Conceptualize and design cutting edge solution by applying design-thinking concepts.
Identify the right algorithms, tech stack, sample outputs required to efficiently address the end need.
Prototype and experiment the solution to successfully demonstrate the value.
Execute the conceptualized solution as per plan by following project management guidelines.
Present the results to internal and client stakeholder in an easy to understand manner with great story telling, story boarding, insights and visualization.
Help build overall digital analytics capability for eClerx through support in client delivery, pilots, pre sales pitches, product development and practice development.
Technical and Functional Skills:
Strong knowledge of Statistics, Data Analysis & Hypothesis testing along with Business Analytics background to support consulting assignments
Visualization and story-telling using Power BI, PowerPoint
Data wrangling using Python & SQL.
Documentation using Word/ PowerPoint
Working knowledge of Excel, Pivot Tables, Formulas is must have
Good to have skills - Data Science/ RPA/ Automation using VBA, Excel macros
Exposure to Machine Learning algorithms is an added advantage",₹6L - ₹9L (Glassdoor Est.)
318,Content Editor,Spectrum HR Consultants,Hyderābād,None,"Summary
Experience Required:
3 - 7 Years
Job Term:
18 Month Contract
Location:
Hyderabad
Category:
Artificial Intelligence/Machine learning/Data Science


USA based MNC that develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and related services.

Job Description
Research, plan, curate and edit experiences for web and search.
Produce and publish new engaging content in a creative way and meeting highest quality standars.
Work with design on layout components (images and artwork).
Comply with design and editorial creation policies and guidelines.
Conduct research on shopping trends and user behavior across different markets.
Collaborate with cross-functional teams to improve the product and receive constructive feedback.
Maintain documentation for all web and search features delivered by the team.
Stay up-to-date with the latest trends in online shopping.
Ensure that the team’s delivery is relevant for the different markets and is up-to-date.
Proofread and edit material.
Use SEO principles.
Monitor website traffic to measure success and opportunities.
Keep track of developments in web technology

Tasks breakdown and Interaction level with team:
Attend daily scrum meetings with the Product Owner.
Use AI tools for Research of product trends for specific moments in time in different markets, including US, Canada, Australia, UK, India, Germany, France, Spain, Italy and Japan among others.
Select product categories and work on images curation for the web and search experiences.
Use AI tools for localization in non English languages.
Work with the International Operations team for in-market validation of all the experiences that the team creates.
Work with design for layout assets (icons, banners, etc.).
Edit and program content for the experiences in cms.
Improve the experience implementing in market feedback.
Keep track of the editorial inventory for MIT.
Partner with Marketing team for the promotional calendar of the created experiences.
Support Product Owner with data tracking and performance of created experiences.
The Candidate will:
Work in products that reaches millions of users.
Collaborate across multi-disciplines and international teams.
Learn and use cutting how to prompt engineer and use cutting edge AI tools and on daily basis.
Learn and use Figma for basic design tasks.
Gain experience on performance analysis of products delivered.

+3 year working experience delivering digital products or campaigns.
Required: Degree on Marketing or International Languages (one of the following: German, French or Japanese).
Must-have: Excellent communication skills (in English).
Must-have: Excellent time-management skills and structured approach to tasks.
Desired:
experience working with CMS programs,
experience with market research, experience working in any of the above mentioned languages.
KPIs: delivery of tasks in due time, managing stakeholders expectations communicating on any road-blockers or issues asap.

Disqualifiers:
Non good communication skills
Non structured persons
Non experience in any of the languages mentioned above
Certificate in one of the following languages: German, French or Japanese
At least 3 years experience working on digital products or content.
At least 1 year experience on International market research.
Knowledge of CMS, basic design tools and principles",₹3L - ₹6L (Glassdoor Est.)
319,MLOPS Engineer - GBM - Mumbai & Pune,Getinz Techno Services,Mumbai,4.5,"We are hiring for leading Data Analytics company , based out in Mumbai & Pune.

Experience Range: 5 - 8 years.
Please note:Immediate or serving Notice period will be preferable.

Location:Pune/Mumbai

Skills: MLOPs, AWS Sagemaker / Azure ML, ELK, Docker

Skills and Qualifications:

Strong proficiency in Azure ML, DataBricks, ML Flow, and AWS Sagemaker for model development and deployment.
Proficiency in DevOps practices, CI/CD pipelines, version control systems (e.g., GitHub), and automation using tools like GitHub Actions and YAML.
Experience with infrastructure as code tools such as Terraform for provisioning and managing cloud resources.
Expertise in containerization technologies like Docker and orchestration tools like Kubernetes for deploying and managing applications.
Knowledge of monitoring and observability tools such as Prometheus, Grafana, and ELK stack for tracking performance metrics and logs.
Familiarity with machine learning concepts and the ability to work closely with data scientists to operationalize models effectively.
Strong problem-solving skills and the ability to work in a fast-paced, collaborative environment.

Roles & Responsibilities:

Collaborate with data scientists, engineers, and other stakeholders to streamline the machine learning model deployment process.
Design, build, and maintain CI/CD pipelines for machine learning model deployment and automation using tools like GitHub Actions, YAML, and Terraform.
Implement containerization strategies and manage Docker-based deployments for machine learning models.
Utilize Kubernetes for orchestration and management of containerized applications.
Develop and maintain monitoring and alerting systems using Prometheus, Grafana, and ELK stack to ensure the health and performance of deployed models.
Implement and manage machine learning infrastructure on cloud platforms such as Azure ML and AWS Sagemaker.
Continuously optimize and improve MLOps workflows for scalability, reliability, and efficiency.

Education and Experience:

Bachelor's or Master's degree in Computer Science, Engineering, or related field.
Minimum of X years of experience in MLOps, DevOps, or a similar role within the machine learning domain.
Relevant certifications in Azure, AWS, Kubernetes, or other related technologies are a plus.",₹5L - ₹8L (Glassdoor Est.)
320,Senior IT Solution Owner,Orange,India,4.0,"About the role
Designing and developing machine learning and deep learning systems
Running machine learning tests and experiments
Implementing appropriate ML algorithms
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Knowledge of other technologies like JavaScript, HTML , Bootstrap, Python, My SQL and Django
Writing reusable, testable, and efficient code using standards
Design and implementation of low-latency, high-availability, and performant applications
Resolution of production anomalies
Implement functional solutions for the requirements
Follow Agile processes
Prepare Technical documentation
Perform unit testing
Support regression and integration testing
Provide technical support during UAT and Go live
Provide maintenance support after Go live
Excellent communication skills

About you
Proven experience as a Machine Learning Engineer or similar role
Develop models and train them
Find and implement new technologies
Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python and using RASA framework
Ability to work in a team
Outstanding analytical and problem-solving skills
Strong knowledge on Web services and API technologies (REST, XML/JSON, SOAP, XSLT)
Good knowledge in using MySQL as backend
Knowledge in developing Skype/MS Teams BOT would be plus
Expertise in Linux System Admin and Bash Scripting
Understanding Django Framework along with webserver Nginx
Familiarity with some ORM (Object Relational Mapper) libraries
Understanding of the threading limitations of Python, and multi-process architecture
Familiarity with event-driven programming in Python
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Experience in developing and maintaining CI/CD process for enterprise SaaS and on-premise applications using DevOps tools like GIT, Jenkins, Maven, Selenium etc.
Operational Experience with containerization technologies such as Docker, Kubernetes, Microservices, Storage Buckets

Additional information
Having an relevant experience of 3 to 7 years
Good written and verbal communication skills, fluent English
Customer centric approach
Problem solving and investigation capabilities
Curious, Autonomous, Rigorous
Ability to learn new technology, new business processes
Ability to ability to work in a virtual team environment and with remote staff
Ability to work with aggressive schedules

Contract
Regular",None
321,Business Development Manager (BDM),Radome Technologies & Services Pvt Ltd,Bengaluru,None,"Role: A Business Development Manager must be dynamically driven to prospect, qualify and aid in lead generation. Developing lasting relationships with key decision makers of the client organization, a business development must help to push forth the brand trust with industry professionals globally.
Job responsibilities:
· Research Potential Client Organization, their Businesses and Contacts to find Opportunities for Collaboration;
· Generate leads through cold calling which should lead to Conversion (should have knowledge how to sell Software Product and Services in the area of Artificial Intelligence and Machine Learning);
· Penetrate the Accounts, and Establish Excellent Relationships with CXOs, Technical/Engineering Leaders and other Key Stakeholders within Client Organization;
· Responsible for gathering RFPs, RFQs and develop Quotes and Proposals for Clients working closely with Engineering Leaders;
· Conduct product demonstrations encompassing both technical and non-technical aspects;
· Build long term association with new Clients and responsible for up selling and cross selling;
· Maintains relationships with customers by providing support, information, and guidance; researching and recommending new opportunities; recommending profit and service improvements;
· Identifies product improvements or new products by remaining current on industry trends, market activities, and competitors;
· Maintain the Healthy Sales Funnel and Pipeline as per defined Monthly, Quarterly and Annual Target;
· Prepares reports by collecting, analyzing, and summarizing information;
· Achieve and report on key KPIs agreed with the CEO.
Desired Skills:
· 7-10 years’ experience in a Business Development;
· Excellent research, planning and organisation skills;
· Demonstrated ability to convert prospects and close deals by phone and in person while maintaining established sales quotas;
· 5+ years proven track record of success in sales/business development in a target driven environment, ideally in CRM/Saas/High-Tech;
· Technology savvy and proficient in the use of a range of communication, presentation and other business tools;
· Proven track record of success in B2B sales, defense market;
· Excellent interpersonal skills and ability to communicate (oral and written) effectively;
· Strong work ethics;
· Passion for selling and enthusiastic self-starter with a can do attitude.
· Excellent problem solving skills and the zeal to learn quickly and adapt to changing requirements
· Ability to collaborate and work independently when required.
Ability to learn and apply new technologies quickly
Job Type: Full-time
Salary: ₹700,000.00 - ₹1,200,000.00 per year
Benefits:
Cell phone reimbursement
Leave encashment
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
Fixed shift
Monday to Friday
Supplemental pay types:
Performance bonus
Experience:
B2B sales: 3 years (Preferred)
Ability to Commute:
Bangalore City, Karnataka (Preferred)",₹7L - ₹12L (Employer Est.)
